,name,url,id,popularity,followers,genres
0,LUCUS,https://open.spotify.com/artist/1nr8mQJesuQtkokLsAUlYs,1nr8mQJesuQtkokLsAUlYs,0,0,[]
1,Niall Colfer,https://open.spotify.com/artist/4v1od5Ne1YiTptmViZHyob,4v1od5Ne1YiTptmViZHyob,0,35,[]
2,J.Folk,https://open.spotify.com/artist/4OUfEeFLBRVOLi3o2LhH4A,4OUfEeFLBRVOLi3o2LhH4A,19,108,[]
3,Page Music,https://open.spotify.com/artist/4sEcV3dkrZEurn0zsE46jK,4sEcV3dkrZEurn0zsE46jK,15,162,[]
4,Praetorian,https://open.spotify.com/artist/7htQ4DzSijqPDXVUVx0mnK,7htQ4DzSijqPDXVUVx0mnK,0,187,[]
5,BP Valenzuela,https://open.spotify.com/artist/1tMPflXLYxNapanRumZehF,1tMPflXLYxNapanRumZehF,20,230,['pinoy indie']
6,Aila Gato,https://open.spotify.com/artist/4YKbtlXuc2AYbYfyBTC4fY,4YKbtlXuc2AYbYfyBTC4fY,28,235,[]
7,K.,https://open.spotify.com/artist/1AJDbZRKE8B4BJrgn3AI3e,1AJDbZRKE8B4BJrgn3AI3e,7,245,[]
8,LAYYI,https://open.spotify.com/artist/76ZCgPpNcZEokvxJRFfSgr,76ZCgPpNcZEokvxJRFfSgr,19,265,[]
9,Kutna Hora,https://open.spotify.com/artist/1yM5tSk970poDI4e08SsuW,1yM5tSk970poDI4e08SsuW,1,280,['neofolk']
10,22.6,https://open.spotify.com/artist/5Fs81fnvB394jas4icUTkb,5Fs81fnvB394jas4icUTkb,25,304,[]
11,WOON,https://open.spotify.com/artist/7mk4PeoXZdOYl0kASK5INp,7mk4PeoXZdOYl0kASK5INp,18,307,['chill r&b']
12,Morgan Dyson,https://open.spotify.com/artist/7GGv7gGOhdaWFvHXMI1upz,7GGv7gGOhdaWFvHXMI1upz,12,316,['chill r&b']
13,FLORA,https://open.spotify.com/artist/0e6x6jekPEsRu9blCb1MWZ,0e6x6jekPEsRu9blCb1MWZ,21,322,[]
14,Egida Aurea,https://open.spotify.com/artist/5eMnrQC3LtuHzZEI4WNR2X,5eMnrQC3LtuHzZEI4WNR2X,0,345,['italian opera']
15,Tedadore,https://open.spotify.com/artist/5Sy1WoUv5DuzsMoQ0SLp6E,5Sy1WoUv5DuzsMoQ0SLp6E,17,358,[]
16,Culpeo,https://open.spotify.com/artist/6e16LN2fHwaIm2v5jQ541j,6e16LN2fHwaIm2v5jQ541j,29,506,[]
17,Dontae Peeps,https://open.spotify.com/artist/2tH6JDbrJ9de8CtKiF3jiO,2tH6JDbrJ9de8CtKiF3jiO,4,584,[]
18,Twotrees,https://open.spotify.com/artist/2Tc7q1cWJbxcv8Jzjebp0g,2Tc7q1cWJbxcv8Jzjebp0g,40,600,[]
19,Narysal,https://open.spotify.com/artist/26iQVSr3VdWWAzy7fiN908,26iQVSr3VdWWAzy7fiN908,28,618,['chill r&b']
20,thisisnotblair,https://open.spotify.com/artist/5YQUx24t8evfnjfi8L5g0K,5YQUx24t8evfnjfi8L5g0K,8,629,[]
21,Kenzo,https://open.spotify.com/artist/7hekX76VovqQ9kRvHabHBl,7hekX76VovqQ9kRvHabHBl,20,710,['chill r&b']
22,蔡文泽,https://open.spotify.com/artist/58Y39p5sGzLPBOJWdzcS9O,58Y39p5sGzLPBOJWdzcS9O,31,722,['chinese viral pop']
23,emie nathan,https://open.spotify.com/artist/6vFlOaLfKZPqqJuJ3YWhAB,6vFlOaLfKZPqqJuJ3YWhAB,38,785,[]
24,Nige,https://open.spotify.com/artist/2JVSIjXa8mS0437WpmGI0Q,2JVSIjXa8mS0437WpmGI0Q,28,812,[]
25,Julles,https://open.spotify.com/artist/59RKDymdV7jSSYMk7kLdko,59RKDymdV7jSSYMk7kLdko,16,814,['chill r&b']
26,Jra,https://open.spotify.com/artist/0jnf4SQHniebRfe6ZbSN99,0jnf4SQHniebRfe6ZbSN99,0,834,[]
27,DEAN,https://open.spotify.com/artist/3r8hF4gh4qKvHaysJu5mhM,3r8hF4gh4qKvHaysJu5mhM,21,853,['chill r&b']
28,Beetleflux,https://open.spotify.com/artist/1OhmcZ5wH46kBUp7dzFJkD,1OhmcZ5wH46kBUp7dzFJkD,9,865,['indonesian shoegaze']
29,小星星Aurora,https://open.spotify.com/artist/4VYhxlKLvuWbJOF8zsKvmX,4VYhxlKLvuWbJOF8zsKvmX,33,884,['chinese viral pop']
30,Mario Golf,https://open.spotify.com/artist/5Uu3II6FMw5uDcRWsBWtRm,5Uu3II6FMw5uDcRWsBWtRm,25,896,[]
31,Brian Dublin,https://open.spotify.com/artist/2RRNrkubhppUJPRUYExCVf,2RRNrkubhppUJPRUYExCVf,23,904,['chill r&b']
32,Inik,https://open.spotify.com/artist/5Cx69lMprSSV7QHcohndtW,5Cx69lMprSSV7QHcohndtW,10,915,['jawaiian']
33,Jayvidd,https://open.spotify.com/artist/7u4u0xP5jjGkxtl2ZOKMGd,7u4u0xP5jjGkxtl2ZOKMGd,20,928,['chill r&b']
34,Risin Black Hole,https://open.spotify.com/artist/2BzyLwVSSglX4ljM3YKmNa,2BzyLwVSSglX4ljM3YKmNa,24,939,['indonesian indie']
35,Manny X,https://open.spotify.com/artist/0McPTjBrSA2FTcbI9uSRoa,0McPTjBrSA2FTcbI9uSRoa,26,974,['trap dominicano']
36,The Steoples,https://open.spotify.com/artist/48GtkQFcYOyW312L5EMZ0y,48GtkQFcYOyW312L5EMZ0y,10,1005,[]
37,mei quinn,https://open.spotify.com/artist/1lyH1uo6D5uUqQ410sFZHn,1lyH1uo6D5uUqQ410sFZHn,23,1013,['chill r&b']
38,"Thai, Iz",https://open.spotify.com/artist/5NvtI5UlFSK9dnySngz4Id,5NvtI5UlFSK9dnySngz4Id,11,1043,[]
39,Carissa Alvarado,https://open.spotify.com/artist/5cBIrJVRJApuW3SUMAo8bl,5cBIrJVRJApuW3SUMAo8bl,33,1067,['chill r&b']
40,Livv.,https://open.spotify.com/artist/7HEzPNiotIt5ixzPdAUDml,7HEzPNiotIt5ixzPdAUDml,20,1134,['chill r&b']
41,jaesun,https://open.spotify.com/artist/22N3Z4kBeTk1ikXxHL4Pp5,22N3Z4kBeTk1ikXxHL4Pp5,30,1264,['chill r&b']
42,Sunmin,https://open.spotify.com/artist/3tSqvuC6jIIo8rmiurd6ny,3tSqvuC6jIIo8rmiurd6ny,27,1275,[]
43,Struggail,https://open.spotify.com/artist/6H3wGbNGXvtYAhUHoOCyPb,6H3wGbNGXvtYAhUHoOCyPb,27,1278,['chill r&b']
44,Farrah,https://open.spotify.com/artist/4RvgBTjECTDRsrvIL5Liip,4RvgBTjECTDRsrvIL5Liip,26,1349,['chill r&b']
45,mokina,https://open.spotify.com/artist/6TnOtn1qYytprdSpG4kYCc,6TnOtn1qYytprdSpG4kYCc,34,1363,[]
46,Kieron Lee,https://open.spotify.com/artist/3H3NQV4laaVD30bbpukZcW,3H3NQV4laaVD30bbpukZcW,39,1404,"['chill r&b', 'singaporean singer-songwriter']"
47,Katnip,https://open.spotify.com/artist/2bOcFoSypJcNgs5IaXVKMp,2bOcFoSypJcNgs5IaXVKMp,37,1446,[]
48,Jeffrey Owens,https://open.spotify.com/artist/2X2X74NoNCXXaZb8F1HFs3,2X2X74NoNCXXaZb8F1HFs3,34,1528,['chill r&b']
49,Davin Kingston,https://open.spotify.com/artist/2DiXVHlBJ96P312nY3oIQB,2DiXVHlBJ96P312nY3oIQB,34,1535,"['boston indie', 'chill r&b']"
50,David Soh,https://open.spotify.com/artist/5gQJetIU8Kv0bvDgAusFeO,5gQJetIU8Kv0bvDgAusFeO,22,1639,['chill r&b']
51,The Sounders,https://open.spotify.com/artist/6isqNhi9iQXe0sEgF5mKxT,6isqNhi9iQXe0sEgF5mKxT,18,1642,['hmong pop']
52,A.M. Kidd,https://open.spotify.com/artist/2R0g5Q5Vrx700gkXiUgiqz,2R0g5Q5Vrx700gkXiUgiqz,3,1658,[]
53,Kitty Purrnaz,https://open.spotify.com/artist/5CRMilXf5gELXf6m2Ml3dx,5CRMilXf5gELXf6m2Ml3dx,33,1681,['chill r&b']
54,Pauline Zoe Park,https://open.spotify.com/artist/5EtDkb4TepNWQ3k09hrW4T,5EtDkb4TepNWQ3k09hrW4T,35,1737,['chill r&b']
55,Salmon Cat,https://open.spotify.com/artist/5JWkrKXdnre8MtcZLrqrPs,5JWkrKXdnre8MtcZLrqrPs,30,1791,[]
56,Unflirt,https://open.spotify.com/artist/19fxSFm3VSC8tg7msuw8zV,19fxSFm3VSC8tg7msuw8zV,32,1852,[]
57,Magnetic North & Taiyo Na,https://open.spotify.com/artist/5P8DUAC8zMuhX9rGZnpSlW,5P8DUAC8zMuhX9rGZnpSlW,16,1905,[]
58,BEARHOUSE,https://open.spotify.com/artist/1FmcsU7I7tZG5RCH1RLS9D,1FmcsU7I7tZG5RCH1RLS9D,38,1945,['thai pop']
59,GUZT,https://open.spotify.com/artist/7ksq8nXlbSQKxU2qp9bYR2,7ksq8nXlbSQKxU2qp9bYR2,35,1947,[]
60,We The Mongrels,https://open.spotify.com/artist/3tMCCHWJzmRKZvSR157i7e,3tMCCHWJzmRKZvSR157i7e,31,1976,['chill r&b']
61,Lisa Oduor-Noah,https://open.spotify.com/artist/2lzhfTv334wDq7W7tFyJHa,2lzhfTv334wDq7W7tFyJHa,24,2020,"['afro r&b', 'kenyan alternative']"
62,Hookoa,https://open.spotify.com/artist/6CrOteDItFxf5itN9BZutY,6CrOteDItFxf5itN9BZutY,25,2071,['jawaiian']
63,GARETH FERNANDEZ,https://open.spotify.com/artist/5OCCRySomkXZXoE1JQ5Hkb,5OCCRySomkXZXoE1JQ5Hkb,37,2087,['singaporean pop']
64,CHAPPY,https://open.spotify.com/artist/5jum8G9CQDNNd4ZtgM6KT7,5jum8G9CQDNNd4ZtgM6KT7,34,2095,"['indiecoustica', 'nashville americana', 'stomp and holler']"
65,Emi Choi,https://open.spotify.com/artist/7CBR3nH5wFYRbmNAuxZdcU,7CBR3nH5wFYRbmNAuxZdcU,36,2166,['chill r&b']
66,Morad,https://open.spotify.com/artist/5vxULw4cTsiMYOvH0jrbfj,5vxULw4cTsiMYOvH0jrbfj,31,2209,['indonesian blues']
67,Lucy Blue,https://open.spotify.com/artist/2bhd3BPOa3430RfyyB6moo,2bhd3BPOa3430RfyyB6moo,31,2210,['irish pop']
68,Mr Slipz,https://open.spotify.com/artist/0f41KWC8A6b93s0n90uNjn,0f41KWC8A6b93s0n90uNjn,35,2222,[]
69,Dontae,https://open.spotify.com/artist/2k1asY20M6KllWJJntHpeC,2k1asY20M6KllWJJntHpeC,3,2310,[]
70,Kevin Lien,https://open.spotify.com/artist/6MlxxwGrNxWTVCHWTEi2Pz,6MlxxwGrNxWTVCHWTEi2Pz,21,2333,[]
71,Kryptonyte,https://open.spotify.com/artist/0noGuFQT8fxdugdG0gfVkt,0noGuFQT8fxdugdG0gfVkt,31,2337,['experimental hip hop']
72,Tommy C,https://open.spotify.com/artist/7JAzuorYbsRpERYVxE4eW3,7JAzuorYbsRpERYVxE4eW3,14,2394,[]
73,Kemi Ade,https://open.spotify.com/artist/6KDipZITiq5yiYakmv11UP,6KDipZITiq5yiYakmv11UP,26,2407,[]
74,Jane & The Boy,https://open.spotify.com/artist/3KZ4GEQBp2q7PsRroeprC8,3KZ4GEQBp2q7PsRroeprC8,41,2418,[]
75,Astyn Turr,https://open.spotify.com/artist/2By37PSkMs1WNuiTY0CbQl,2By37PSkMs1WNuiTY0CbQl,46,2509,[]
76,Dino Meneghin,https://open.spotify.com/artist/1efC0oEeq2762gNVC9Gbtx,1efC0oEeq2762gNVC9Gbtx,30,2550,[]
77,Benjamin Varney,https://open.spotify.com/artist/5jC1DZRmodcLQvEd4WbAOX,5jC1DZRmodcLQvEd4WbAOX,31,2575,['thai pop rap']
78,Bone Slim,https://open.spotify.com/artist/5VoreVetRqMEFui6KpGdt2,5VoreVetRqMEFui6KpGdt2,38,2591,['uk alternative hip hop']
79,Whitehall,https://open.spotify.com/artist/7MJBivXsykJUNKMUKfKfgx,7MJBivXsykJUNKMUKfKfgx,30,2599,['south carolina indie']
80,Revel Day,https://open.spotify.com/artist/0GlCo4o05HxdzR4Gj7GKyw,0GlCo4o05HxdzR4Gj7GKyw,43,2617,[]
81,Nascent,https://open.spotify.com/artist/5727wMPGcNsG22DBboWpX6,5727wMPGcNsG22DBboWpX6,44,2660,"['indie hip hop', 'indie r&b']"
82,Jay.Keyz,https://open.spotify.com/artist/735Dj0ds517E8X1uPiJ35s,735Dj0ds517E8X1uPiJ35s,29,2695,['jawaiian']
83,Hidinin,https://open.spotify.com/artist/0C6oNIq3fYBTWuHFJpsZwk,0C6oNIq3fYBTWuHFJpsZwk,28,2735,['hopebeat']
84,Television off,https://open.spotify.com/artist/1KmzHN004Sm7O5pqRmh9hA,1KmzHN004Sm7O5pqRmh9hA,32,2852,['thai indie rock']
85,Seahoarse,https://open.spotify.com/artist/5jmCWDst26mq4fh9zTaL6a,5jmCWDst26mq4fh9zTaL6a,5,2901,"['indonesian indie rock', 'indonesian shoegaze']"
86,Harriette,https://open.spotify.com/artist/4pvvhffb5CTrWsrTCf3tMa,4pvvhffb5CTrWsrTCf3tMa,43,2922,['indie pop']
87,ZZUF,https://open.spotify.com/artist/3bAPJlYXp3xosM0se7sttr,3bAPJlYXp3xosM0se7sttr,15,2968,['indonesian indie rock']
88,POLYCAT,https://open.spotify.com/artist/0BP4PH38filZMd7npxe0uV,0BP4PH38filZMd7npxe0uV,29,2978,['thai pop']
89,Parrotfish,https://open.spotify.com/artist/3sXsp1NdreMl6Pa5Lf20qz,3sXsp1NdreMl6Pa5Lf20qz,36,3030,['tampa indie']
90,Texpack,https://open.spotify.com/artist/1OmBTwOooZHrYO3YUmSTIA,1OmBTwOooZHrYO3YUmSTIA,26,3109,"['bogor indie', 'indonesian indie', 'indonesian indie rock']"
91,Phoebe Katis,https://open.spotify.com/artist/0hPB6WmY4JXhcrficlznCx,0hPB6WmY4JXhcrficlznCx,31,3168,[]
92,Uncle Ben,https://open.spotify.com/artist/7lhxw2OpjLMGTrlUobUN3F,7lhxw2OpjLMGTrlUobUN3F,41,3188,[]
93,Nieman J,https://open.spotify.com/artist/1sXjt6XF2hUgabKoaksNu3,1sXjt6XF2hUgabKoaksNu3,48,3229,"['pop r&b', 'trap soul']"
94,Äyanna,https://open.spotify.com/artist/61SZdJffkiHvhHX2nnkymD,61SZdJffkiHvhHX2nnkymD,33,3275,['chill r&b']
95,Two Triple-O,https://open.spotify.com/artist/0FsuEFZR2FmGgLf05ryHZb,0FsuEFZR2FmGgLf05ryHZb,25,3286,[]
96,Wen Wei,https://open.spotify.com/artist/12LXmUdAbhmRP9CCa7wGHn,12LXmUdAbhmRP9CCa7wGHn,37,3350,['chinese viral pop']
97,Mind Shrine,https://open.spotify.com/artist/48UczULz1QAoYIE1bsYWgM,48UczULz1QAoYIE1bsYWgM,26,3376,['houston indie']
98,Ina,https://open.spotify.com/artist/6U0qpV1jByBImJl8oRFnlQ,6U0qpV1jByBImJl8oRFnlQ,37,3379,[]
99,daynim,https://open.spotify.com/artist/5TJfVhMs1wOBcLLl56fiu6,5TJfVhMs1wOBcLLl56fiu6,27,3425,[]
100,Sideshow,https://open.spotify.com/artist/53xeKWbSRuGgTxViJTAZKC,53xeKWbSRuGgTxViJTAZKC,40,3569,['experimental hip hop']
101,Jon Mcxro,https://open.spotify.com/artist/0WHHBaJvDUppveebiv1SPm,0WHHBaJvDUppveebiv1SPm,18,3572,[]
102,August Rigo,https://open.spotify.com/artist/0j4KkLX4P2OPMJfXcatbQ3,0j4KkLX4P2OPMJfXcatbQ3,33,3582,"['canadian contemporary r&b', 'indie r&b']"
103,Jak Lizard,https://open.spotify.com/artist/1fSVQsyT52lNgeTUza3oH5,1fSVQsyT52lNgeTUza3oH5,38,3669,[]
104,Sture Zetterberg,https://open.spotify.com/artist/00GQFQMePsK6tyPSJkBJZG,00GQFQMePsK6tyPSJkBJZG,45,3672,[]
105,Soft Pine,https://open.spotify.com/artist/2GT63EyB3EMBmSJXOupIwx,2GT63EyB3EMBmSJXOupIwx,26,3695,['thai indie rock']
106,Beatchild,https://open.spotify.com/artist/4k7KKAyXbpBKe0iziD7c2P,4k7KKAyXbpBKe0iziD7c2P,37,3699,['neo r&b']
107,Monita,https://open.spotify.com/artist/1lbcKJf9PAK2f1aPWfjBCB,1lbcKJf9PAK2f1aPWfjBCB,41,3820,['indonesian pop']
108,Brother Zulu,https://open.spotify.com/artist/2s2izwM5DBKt4BkK00CEnw,2s2izwM5DBKt4BkK00CEnw,35,3823,[]
109,YAØ,https://open.spotify.com/artist/65ZzuNL3HmtwhF9akIKXuJ,65ZzuNL3HmtwhF9akIKXuJ,41,3838,"['chill r&b', 'singaporean pop']"
110,Yaya Bey,https://open.spotify.com/artist/6tpaMMCs8X6o8j9H5OmWmT,6tpaMMCs8X6o8j9H5OmWmT,28,3908,['experimental r&b']
111,Flowr Pit,https://open.spotify.com/artist/3FOqYio7C8ihO8MciypqLv,3FOqYio7C8ihO8MciypqLv,9,3966,['indonesian indie rock']
112,Rebel Kleff,https://open.spotify.com/artist/4IZnj59pur7nfqpdGzuPF6,4IZnj59pur7nfqpdGzuPF6,49,4033,['uk alternative hip hop']
113,RAYHAN NOOR,https://open.spotify.com/artist/5jLL1YM0DNKKhnLl0oSlUA,5jLL1YM0DNKKhnLl0oSlUA,40,4341,"['indonesian indie', 'indonesian indie pop', 'indonesian pop', 'indonesian singer-songwriter']"
114,Circarama,https://open.spotify.com/artist/4eLIFT7pT8QmfqdanOuXZZ,4eLIFT7pT8QmfqdanOuXZZ,11,4343,"['indonesian indie rock', 'indonesian neo-psychedelia']"
115,Tarin,https://open.spotify.com/artist/4UEKXXZ65FBcAJPVerQjtO,4UEKXXZ65FBcAJPVerQjtO,30,4528,['k-indie']
116,Mango Kingz,https://open.spotify.com/artist/0WckcWQ3orirqcBwlIMBF7,0WckcWQ3orirqcBwlIMBF7,22,4533,['jawaiian']
117,Ariza,https://open.spotify.com/artist/4hfAjEKTAFTmJvGQCGTED5,4hfAjEKTAFTmJvGQCGTED5,47,4554,['la pop']
118,Ethan Dufault,https://open.spotify.com/artist/5c7oIOloT3runmK9YMayzJ,5c7oIOloT3runmK9YMayzJ,41,4576,['cedm']
119,Kevin Chung,https://open.spotify.com/artist/1VecMtyjxg6MDDJGVJnMJ2,1VecMtyjxg6MDDJGVJnMJ2,35,4586,['chill r&b']
120,Annika Bennett,https://open.spotify.com/artist/6p6WfcngzvbVPbmV9HMb5l,6p6WfcngzvbVPbmV9HMb5l,32,4674,['nashville singer-songwriter']
121,MARKSIWAT,https://open.spotify.com/artist/5wWdsYM1ga3zWIaViwTFfC,5wWdsYM1ga3zWIaViwTFfC,30,4754,['thai idol']
122,Louis Culture,https://open.spotify.com/artist/7k6jdEkR8FoKdOi0iW4VkR,7k6jdEkR8FoKdOi0iW4VkR,41,4774,['uk alternative hip hop']
123,Lanna Pop Club,https://open.spotify.com/artist/72PCv7vHwpVnJANQXobQRJ,72PCv7vHwpVnJANQXobQRJ,31,4849,['thai pop']
124,Lee Bannon,https://open.spotify.com/artist/67GzEla7tDwuh2Za0krvvI,67GzEla7tDwuh2Za0krvvI,23,4866,[]
125,DRG,https://open.spotify.com/artist/1osj7IbtoqGC44LG6cBK8t,1osj7IbtoqGC44LG6cBK8t,39,4879,['thai pop']
126,First Beige,https://open.spotify.com/artist/0QLkmmM8acu07MIT5GcSPT,0QLkmmM8acu07MIT5GcSPT,31,4891,"['australian indie rock', 'brisbane indie']"
127,In K,https://open.spotify.com/artist/6bihkoxBTTUE71xCJaeIU6,6bihkoxBTTUE71xCJaeIU6,49,4924,['chinese viral pop']
128,Jeffrey East,https://open.spotify.com/artist/3f8yNgA4o9YVIq87Kv0O0S,3f8yNgA4o9YVIq87Kv0O0S,45,4971,['nashville singer-songwriter']
129,Deema,https://open.spotify.com/artist/3SBYl2unJoVzvNIUBC8ftm,3SBYl2unJoVzvNIUBC8ftm,39,4988,"['indie hip hop', 'uk alternative hip hop']"
130,FWENDS,https://open.spotify.com/artist/5Fq08bSPYCi4PeQTn01C42,5Fq08bSPYCi4PeQTn01C42,9,4991,['thai indie pop']
131,Tebi Rex,https://open.spotify.com/artist/7zS2n2fSTNuwDTqfYHv55G,7zS2n2fSTNuwDTqfYHv55G,29,4992,['irish hip hop']
132,Kaveh Kanes,https://open.spotify.com/artist/29OYzPQPrzrSqlnSTKiT1O,29OYzPQPrzrSqlnSTKiT1O,12,5020,"['indonesian indie pop', 'indonesian indie rock', 'indonesian shoegaze']"
133,AYLA's,https://open.spotify.com/artist/2XiaPu2j4nBMhF8pIlt6Bk,2XiaPu2j4nBMhF8pIlt6Bk,42,5046,[]
134,Gizpel,https://open.spotify.com/artist/3UxPrCxaDLKe4NYXzx96H3,3UxPrCxaDLKe4NYXzx96H3,10,5060,"['indonesian indie rock', 'indonesian shoegaze']"
135,Total Jerks,https://open.spotify.com/artist/73OMojDYMDU5Rzu9bziaEn,73OMojDYMDU5Rzu9bziaEn,24,5110,"['indonesian hardcore', 'indonesian indie', 'indonesian punk']"
136,Rai Thistlethwayte,https://open.spotify.com/artist/5hKmTTCxDL9ca2pL5perT9,5hKmTTCxDL9ca2pL5perT9,23,5200,[]
137,Door Plant,https://open.spotify.com/artist/2MhSGHf6gIMHkHPNs1W1zU,2MhSGHf6gIMHkHPNs1W1zU,29,5210,['thai indie rock']
138,quicksand bed,https://open.spotify.com/artist/5PHCGqnqL1dzGEud0XL2ym,5PHCGqnqL1dzGEud0XL2ym,35,5224,['thai indie pop']
139,fika,https://open.spotify.com/artist/4nJPiUgLhO1HcK13jBkAqX,4nJPiUgLhO1HcK13jBkAqX,47,5277,['chill pop']
140,Pink $ock,https://open.spotify.com/artist/2r2vazPWwll5lAiKrxwcgC,2r2vazPWwll5lAiKrxwcgC,26,5311,['bedroom soul']
141,Dj Douyin Remix,https://open.spotify.com/artist/5yI61o62NLKjPUW0GXOsZx,5yI61o62NLKjPUW0GXOsZx,47,5319,['chinese viral pop']
142,Meeka Kates,https://open.spotify.com/artist/24XZ9joYiC4hzMYXihqgc1,24XZ9joYiC4hzMYXihqgc1,37,5326,[]
143,Kish!,https://open.spotify.com/artist/1JMsZEdEQaTLW2JdGPpRxg,1JMsZEdEQaTLW2JdGPpRxg,36,5367,['uk alternative hip hop']
144,Paul Kim,https://open.spotify.com/artist/2ZbQQ5eyvaTNyPq6RvuWgc,2ZbQQ5eyvaTNyPq6RvuWgc,22,5405,[]
145,Pohaku,https://open.spotify.com/artist/15HGQmqeJpLR4W5Uf63GDV,15HGQmqeJpLR4W5Uf63GDV,31,5552,['jawaiian']
146,spsalola,https://open.spotify.com/artist/0KLp5ppsZerGbWrWnO7lXG,0KLp5ppsZerGbWrWnO7lXG,41,5572,['thai pop']
147,Just Big Hills,https://open.spotify.com/artist/2ih5O9wwxSSYLe9Bnce309,2ih5O9wwxSSYLe9Bnce309,43,5603,['lo-fi beats']
148,MIKA - INTERSECTION,https://open.spotify.com/artist/2DVQ31vcIoRyOTbuMkOeWW,2DVQ31vcIoRyOTbuMkOeWW,26,5671,['chill r&b']
149,Andezzz,https://open.spotify.com/artist/2fbpowgwOj5DqZt6IZHzWd,2fbpowgwOj5DqZt6IZHzWd,25,5690,['indonesian edm']
150,Paperboy Fabe,https://open.spotify.com/artist/58uK0d4R5Rq4FDUNgNIFeI,58uK0d4R5Rq4FDUNgNIFeI,52,5771,"['alternative r&b', 'r&b']"
151,ikkubaru,https://open.spotify.com/artist/3jOVGGa69UVA6d1InnQabx,3jOVGGa69UVA6d1InnQabx,33,5835,['indonesian indie']
152,Timothy Delaghetto,https://open.spotify.com/artist/4nhFCuGtp88ojXciubhGxj,4nhFCuGtp88ojXciubhGxj,30,5968,['asian american hip hop']
153,Femme It Forward,https://open.spotify.com/artist/3rw1MKkbLTZw46AqC7gRpH,3rw1MKkbLTZw46AqC7gRpH,47,5983,"['alternative r&b', 'chill r&b', 'indie r&b']"
154,The Mentawais,https://open.spotify.com/artist/0hj0i2IkfZpSCUPPFqVMhR,0hj0i2IkfZpSCUPPFqVMhR,15,6001,"['bogor indie', 'indonesian indie rock']"
155,張語噥,https://open.spotify.com/artist/3PWY4Z5OjA9aABPh5ipDk8,3PWY4Z5OjA9aABPh5ipDk8,39,6042,"['mandopop', 'taiwan pop']"
156,Xiamara Jennings,https://open.spotify.com/artist/4iDbd21uw0KAl8rnjfWAO6,4iDbd21uw0KAl8rnjfWAO6,30,6112,[]
157,Atsea,https://open.spotify.com/artist/29YMwt7N0OV3oG5nw2NmeI,29YMwt7N0OV3oG5nw2NmeI,16,6134,['indonesian indie rock']
158,Jae Jin,https://open.spotify.com/artist/7DZyLDbWn8iQTHVR5EToQ2,7DZyLDbWn8iQTHVR5EToQ2,37,6136,['christian indie']
159,Leylani,https://open.spotify.com/artist/1lTtMiejAHtyz6NyD5N2kV,1lTtMiejAHtyz6NyD5N2kV,22,6136,['jawaiian']
160,Z.Woods,https://open.spotify.com/artist/4wf83MgUJNKr3Th3MYBEOz,4wf83MgUJNKr3Th3MYBEOz,28,6182,[]
161,Varis,https://open.spotify.com/artist/53DTvTbpR2jK1KUrR13431,53DTvTbpR2jK1KUrR13431,29,6185,['thai indie rock']
162,Nia Archives,https://open.spotify.com/artist/7BMR0fwtEvzGtK4rNGdoiQ,7BMR0fwtEvzGtK4rNGdoiQ,48,6190,['uk alternative hip hop']
163,Rocketman,https://open.spotify.com/artist/4PSlXQjt2u6ua1YxEsHfsQ,4PSlXQjt2u6ua1YxEsHfsQ,38,6201,[]
164,Wildflowers,https://open.spotify.com/artist/5coLLXzZ7CNs9tKs0AbeJo,5coLLXzZ7CNs9tKs0AbeJo,45,6208,[]
165,Leland Blue,https://open.spotify.com/artist/4TgfkZEpcjkYgRBKeqy1Mh,4TgfkZEpcjkYgRBKeqy1Mh,35,6267,['michigan indie']
166,OHMYMEITING,https://open.spotify.com/artist/5ejbZdon0riCxa7GyJNEAx,5ejbZdon0riCxa7GyJNEAx,49,6305,"['mandopop', 'singaporean mandopop', 'taiwan pop']"
167,shiv,https://open.spotify.com/artist/5rxxzsO9zojzg0FfWVmIv7,5rxxzsO9zojzg0FfWVmIv7,47,6323,['irish pop']
168,Jamilah Barry,https://open.spotify.com/artist/2XSaBoykurbHLXS5WwDewv,2XSaBoykurbHLXS5WwDewv,37,6344,"['alternative r&b', 'indie r&b', 'uk contemporary r&b']"
169,Mac Wetha,https://open.spotify.com/artist/4q1qItmjb9INKQM0F82StP,4q1qItmjb9INKQM0F82StP,41,6369,['uk alternative hip hop']
170,Young,https://open.spotify.com/artist/7tuUo4Kby0sTXYcctxdlYa,7tuUo4Kby0sTXYcctxdlYa,41,6372,"['mainland chinese pop', 'mandopop', 'taiwan pop']"
171,Joshua Malilay,https://open.spotify.com/artist/4fAGiYn9xZsfFEdJMEgCTB,4fAGiYn9xZsfFEdJMEgCTB,39,6393,['chill r&b']
172,amin,https://open.spotify.com/artist/05FbaV2QkbVQoHri4l491N,05FbaV2QkbVQoHri4l491N,47,6443,['chill r&b']
173,AKAI SOLO,https://open.spotify.com/artist/4BqOTaVacNL8CyDxxgiMjB,4BqOTaVacNL8CyDxxgiMjB,34,6464,"['boom bap', 'experimental hip hop']"
174,NiNE8,https://open.spotify.com/artist/0b3ISAJg1jwifewBgTwTHG,0b3ISAJg1jwifewBgTwTHG,36,6476,['uk alternative hip hop']
175,Otis Kane,https://open.spotify.com/artist/2rp9zfs7yPrwCGVl4CjWAl,2rp9zfs7yPrwCGVl4CjWAl,46,6520,"['alternative r&b', 'indie r&b']"
